 country  	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008
Belgium 	: 	: 	: 	26.61 	27.89 	29.17 	29.58 	30.30 	30.62 	31.43 	32.56 	33.66
Bulgaria 	: 	1.11 	1.22 	1.23 	1.29 	1.32 	1.39 	1.45 	1.55 	1.65 	1.89 	:
Czech Republic 	2.97 	3.23 	3.41 	3.86 	4.64 	5.39 	5.47 	5.85 	6.63 	7.14 	7.88 	:
Denmark 	23.4 	24.63 	25.92 	26.53 	28.54 	29.06 	30.3 	30.7 	31.98 	33.09 	34.74 	:
Germany (including ex-GDR from 1991) 	23.30 	23.60 	24.00 	25.00 	25.60 	26.20 	26.80 	26.90 	27.10 	27.60 	27.80 	:
Estonia 	2.13 	2.42 	2.6 	2.85 	3.22 	3.67 	4.01 	4.24 	4.67 	5.5 	6.6 	:
Ireland 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
Greece 	9.77 	9.77 	10.60 	10.98 	11.62 	12.46 	13.37 	: 	: 	: 	: 	:
Spain 	14.19 	14.13 	14.22 	14.22 	13.07 	13.63 	14.21 	14.76 	15.22 	15.77 	16.39 	:
France 	22.52 	22.94 	23.57 	24.84 	26.00 	27.04 	27.68 	28.46 	29.29 	30.25 	31.24 	31.97
Italy 	18.92 	18.30 	18.68 	18.99 	19.27 	19.99 	20.64 	21.39 	: 	: 	: 	:
Cyprus 	7.83 	8.19 	8.41 	9.10 	9.43 	9.91 	10.68 	11.10 	11.65 	11.98 	: 	:
Latvia 	1.59 	1.71 	1.85 	2.22 	2.29 	2.39 	2.37 	2.52 	2.77 	3.41 	4.41 	5.42
Lithuania 	1.68 	1.95 	2.16 	2.63 	2.76 	2.90 	3.10 	3.22 	3.56 	4.21 	5.09 	:
Luxembourg (Grand-Duché) 	21.26 	21.56 	22.52 	24.48 	25.39 	26.21 	27.02 	29.97 	31.10 	31.98 	33.00 	33.63
Hungary 	3.15 	3.02 	3.14 	3.63 	4.04 	4.91 	5.10 	5.54 	6.14 	6.34 	7.13 	:
Malta 	: 	: 	: 	: 	: 	7.59 	7.77 	7.77 	8.35 	8.69 	: 	:
Netherlands 	19.13 	20.18 	21.14 	22.31 	23.88 	25.19 	26.45 	27.23 	27.41 	: 	: 	:
Austria 	22.03 	22.17 	22.71 	23.05 	23.65 	24.13 	24.98 	25.32 	26.23 	26.96 	27.61 	:
Poland 	3.38 	3.73 	4.05 	4.48 	5.30 	5.27 	4.70 	4.74 	5.55 	6.03 	6.78 	:
Portugal 	7.4 	7.6 	7.99 	8.13 	8.6 	9.1 	9.6 	10.2 	10.6 	10.97 	11.32 	:
Romania 	: 	: 	: 	1.41 	1.55 	1.67 	1.60 	1.76 	2.33 	2.68 	3.41 	:
Slovenia 	7.90 	8.51 	8.94 	8.98 	9.58 	9.70 	10.54 	10.41 	10.76 	11.29 	12.09 	:
Slovakia 	2.61 	2.91 	2.76 	3.07 	3.26 	3.59 	4.02 	4.41 	4.80 	5.33 	6.41 	:
Finland 	20.30 	20.40 	21.37 	22.10 	23.59 	23.82 	24.78 	25.34 	26.70 	27.20 	27.87 	29.38
Sweden 	23.79 	23.99 	25.43 	28.56 	27.41 	28.73 	30.43 	31.08 	31.55 	32.16 	33.30 	:
United Kingdom 	17.69 	19.16 	20.84 	23.71 	24.51 	25.24 	23.56 	24.71 	24.47 	25.51 	27.19 	:
Iceland 	: 	: 	: 	: 	: 	21.95 	23.76 	25.22 	30.82 	32.37 	: 	:
Switzerland 	: 	: 	: 	30.59 	: 	34.16 	: 	32.82 	: 	33.81 	: 	:
